work_description,infringing_url
Stranger Things,6566
Jupiter's Legacy,3745
The Witcher,2461
The Crown,2360
"House of Cards: Chapter 1
",1850
Army of the Dead,1482
Sacred Games,1426
"Stranger Things: Chapter One: The Vanishing Of Will Byers
",1403
"Sense8
",1204
"Things Heard & Seen
",1035
"Netflix: Jupiter's Legacy
",951
"Oxygène
",728
Gunjan Saxena,651
The White Tiger,643
Ludo,643
"Black Mirror: Nosedive
",603
"The Mitchells vs. The Machines
",588
"The Woman in the Window
",571
"Netflix: Shadow and Bone
",544
Sardar Ka Grandson,517
"Castlevania: Season 2 Episode 1: War Council
",460
"Netflix: Love, Death & Robots
",451
"La Casa De Papel
",445
"Netflix: Ozark
",428
"Jingle Jangle: A Christmas Journey
",407
"Jupiter's Legacy: Volume 1: ""How It All Ends""
",405
"Netflix: Things Heard & Seen
",405
"Love, Death & Robots: Volume 2: ""All Through the House""
",396
"Jupiter's Legacy: Volume 1: ""Omnes Pro Uno""
",386
"Jupiter's Legacy: Volume 1: ""All the Devils Are Here""
",374
"Jupiter's Legacy: Volume 1: ""By Dawn's Early Light""
",374
Ajeeb Daastaans,362
"Selena: The Series: Part 1: ""Gold Rush""
",358
"Shadow and Bone: Season 1: ""We’re All Someone’s Monster""
",355
"Netflix: Thunder Force
",355
"Jupiter's Legacy: Volume 1: ""Cover Her Face""
",354
"Netflix: Big Mouth
",344
"Jupiter's Legacy: Volume 1: ""Painting the Clouds With Sunshine""
",330
"Jupiter's Legacy: Volume 1: ""Paper and Stone""
",327
"Concrete Cowboy
",325
"Arlo the Alligator Boy
",324
"Netflix: The Irregulars
",318
"Jupiter's Legacy: Volume 1: ""What's the Use?""
",315
"Netflix: Firefly Lane
",308
"Stranger Things
",295
"The Midnight Sky
",278
"Netflix: Arlo the Alligator Boy
",265
Pagglait,264
"The Kissing Booth 2
",261
"Shadow and Bone: Season 1: ""A Searing Burst of Light""
",257
"We Can Be Heroes
",252
"Outside the Wire
",252
FILM - Selena: La serie,251
"Malcolm & Marie
",249
"Netflix: The Witcher
",242
"Netflix: Tribes of Europa
",240
"Shadow and Bone: Season 1: ""The Making at the Heart of the World""
",238
"Netflix: Moxie
",237
Extracurricular,237
"Netflix: Oxygen
",232
"Netflix: Outside the Wire
",231
"The Trial of the Chicago 7
",231
"Netflix: Yes Day
",231
"Netflix: A Week Away
",227
"Shadow and Bone: Season 1: ""No Mourners""
",227
"Pieces of a Woman
",226
"Shadow and Bone: Season 1: ""Otkazat’sya""
",222
"Netflix: Bad Trip
",221
"Thunder Force
",217
"The White Tiger
",216
"Shadow and Bone: Season 1: ""The Heart is an Arrow""
",212
"Shadow and Bone: Season 1: ""Show Me Who You Are""
",212
"Netflix: The Woman in the Window
",211
"The Devil All The Time
",211
"Moxie
",209
"The Sleepover
",209
"The Princess Switch: Switched Again
",208
"Shadow and Bone: Season 1: ""The Unsea""
",206
"Netflix: Bonding
",205
"Project Power
",189
"Netflix: Transformers: War for Cybertron
",187
"The Prom
",184
"Enola Holmes
",179
"What We Wanted
",179
"Netflix: The White Tiger
",176
"The Babysitter: Killer Queen
",173
"Mignonnes
",173
"Da 5 Bloods
",171
"Holidate
",168
"Eurovision Song Contest: The Story of Fire Saga
",165
"Netflix: Army of the Dead
",165
FILM - El inocente - The Innocent,157
The King: Eternal Monarch,156
"MANK
",156
Kingdom,155
"Netflix: To All The Boys: Always And Forever
",151
"Netflix: The Kissing Booth 2
",151
"Ava
",148
"Netflix: Mank
",145
"Netflix: Malcolm & Marie
",142
"The Irregulars: Season 1: ""Chapter Five: Students of the Unhallowed Arts""
",140
"The Irregulars: Season 1: ""Chapter Four: Both the Needle and the Knife""
",138
"Tribes of Europa: Season 1: ""Episode 1""
",136
"The Irregulars: Season 1: ""Chapter One: An Unkindness in London""
",136
"The Irregulars: Season 1: ""Chapter Two: The Ghosts of 221B""
",135
"The Irregulars: Season 1: ""Chapter Three: Ipsissimus""
",134
"Behind Her Eyes: Limited Series: ""Chance Encounters""
",134
"The Irregulars: Season 1: ""Chapter Seven: The Ecstasy of Death""
",133
"Behind Her Eyes: Limited Series: ""Behind Her Eyes""
",131
"Army of the Dead
",130
"The Irregulars: Season 1: ""Chapter Six: Hieracium Snowdoniense""
",130
"The Old Guard
",129
"Behind Her Eyes: Limited Series: ""Rob""
",129
"Netflix: Rebecca
",128
"Netflix: The Princess Switch: Switched Again
",127
Bombay Begums,127
"Netflix: Ava
",123
"A Babysitter's Guide to Monster Hunting
",122
"Over the Moon
",121
"Tribes of Europa: Season 1: ""Episode 6""
",120
"Bridgerton: Season 1: ""Art of the Swoon""
",120
"Behind Her Eyes: Limited Series: ""The First Door""
",117
"Tribes of Europa: Season 1: ""Episode 5""
",116
"Behind Her Eyes: Limited Series: ""Lucid Dreaming""
",115
"Ma Rainey's Black Bottom
",115
"Operation Christmas Drop
",113
"Tribes of Europa: Season 1: ""Episode 2""
",112
FILM - Sky Rojo,111
"Tribes of Europa: Season 1: ""Episode 4""
",111
"Behind Her Eyes: Limited Series: ""The Second Door""
",111
"Bridgerton: Season 1: ""The Duke and I""
",110
"Bridgerton: Season 1: ""Diamond of the First Water""
",110
"Tribes of Europa: Season 1: ""Episode 3""
",108
"To All The Boys: Always And Forever
",108
"The Irregulars: Season 1: ""Chapter Eight: The Ecstasy of Life""
",108
"Netflix: A Babysitter's Guide to Monster Hunting
",107
"Netflix: The Midnight Sky
",107
"Hillbilly Elegy
",106
"Netflix: The Devil All the Time
",106
Pitta Kathalu,104
"Netflix: 6 Underground
",103
"Bridgerton: Season 1: ""Oceans Apart""
",103
"Bridgerton: Season 1: ""Shock and Delight""
",101
"Bridgerton: Season 1: ""Swish""
",98
"Netflix: The Last Days of American Crime
",98
"Klaus
",95
"Dangerous Lies
",94
"The Crown: Wolferton Splash
",91
"Netflix: Cursed
",90
"Bridgerton: Season 1: ""After the Rain""
",90
"Netflix: Fatal Affair
",89
"Money Heist: Season 4 Episode 1: Game Over
",81
"Bridgerton: Season 1: ""An Affair of Honor""
",81
": Chapter Two: The Weirdo on Maple Street
",80
"YES DAY
",76
"Firefly Lane: Season 1: ""Auld Lang Syne""
",74
": Chapter Five: The Flea and the Acrobat
",73
FILM - Élite,71
"Bad Trip
",71
"Narcos: Mexico: Season 2 Episode 6: El Dedazo
",68
"Love, Death & Robots: Volume 2: ""Automated Customer Service""
",67
"Paranormal: Season 1: ""The Myth of the Curse of the Pharaoh""
",67
"Netflix: We Can Be Heroes
",66
FILM - La Casa de Papel,66
"Money Heist: Season 4 Episode 7: Strike the Tent
",65
"Narcos: Mexico: Season 2 Episode 5: AFO
",64
"Dark: Season 3 Episode 1: Deja-vu
",61
"Netflix: Over the Moon
",60
": Chapter Six: The Monster
",60
"Firefly Lane: Season 1: ""Mawaige""
",58
"Firefly Lane: Season 1: ""Oh! Sweet Something""
",58
"Love, Death & Robots: Volume 2: ""Pop Squad""
",58
"Firefly Lane: Season 1: ""Love is a Battlefield""
",57
"Firefly Lane: Season 1: ""Dancing Queens""
",57
"A Week Away
",57
FILM - Bajocero,56
"Stranger Things: Chapter Eight: The Upside Down
",56
"Firefly Lane: Season 1: ""Total Eclipse of the Hart""
",55
"Firefly Lane: Season 1: ""Hello Yellow Brick Road""
",55
"Firefly Lane: Season 1: ""You Say It’s Your Birthday?!""
",55
"Selena: The Series: Part 1: ""Dame un Beso""
",54
"Firefly Lane: Season 1: ""Sweet Child O’ Mine""
",54
"Firefly Lane: Season 1: ""Dirty Laundry""
",54
Tribhanga - Tedhi Medhi Crazy,54
"Money Heist: Season 4 Episode 5: 5 Minutes Earlier
",54
"Money Heist: Season 4 Episode 3: Anatomy Lesson
",53
FILM - Más loco que una cabra - Cabras da Peste,53
"Netflix: Hubie Halloween
",52
"Money Heist: Season 4 Episode 2: Berlin's Wedding
",52
": Chapter Four: The Body
",52
"Love, Death & Robots: Volume 2: ""Ice""
",51
"Teenage Bounty Hunters: Season 1 Episode 5: Death Is Bad
",50
"Teenage Bounty Hunters: Season 1 Episode 1: Daddy's Truck
",49
Kingdom Season 2,49
"Money Heist: Season 4 Episode 6: TKO
",49
"Love, Death & Robots: Volume 2: ""Snow in the Desert""
",49
": Chapter Three: Holly, Jolly
",47
"The Haunting of Bly Manor: ""Episode 8""
",46
"The Haunting of Bly Manor: ""The Two Faces, Part Two""
",45
"Love, Death & Robots: Volume 2: ""The Drowned Giant""
",44
"The Rain: Season 3 Episode 2: Never Let Go
",44
"The Rain: Season 3 Episode 4: Be the Change You Want in the World
",43
"Selena: The Series: Part 1: ""Dulce Amor""
",42
": Chapter Seven: The Bathtub
",41
"The Rain: Season 3 Episode 6: And This Too Shall Pass
",41
"Teenage Bounty Hunters: Season 1 Episode 10: Something Sour Patch
",40
"Narcos: Mexico: Season 2 Episode 9: Growth, Prosperity, and Liberation
",40
"Teenage Bounty Hunters: Season 1 Episode 6: Master Debater
",40
"Godzilla Singular Point: Season 1: ""Episode 2""
",40
"The Haunting of Bly Manor: ""The Way It Came""
",39
"The Rain: Season 3 Episode 5: Love Yourself
",39
FILM - Stranger Things,38
"The Haunting of Bly Manor: ""The Jolly Corner""
",38
"The Rain: Season 3 Episode 3: Stay Strong
",38
FILM - El baile de los *41 - Dance of the Forty One,37
"The Haunting of Bly Manor: ""The Pupil""
",36
"FILM - Odio, de Dani Rovira - Hate by Dani Rovira",36
"Love, Death & Robots: Volume 2: ""The Tall Grass""
",36
"Love, Death & Robots: Volume 2: ""Life Hutch""
",36
"The Rain: Season 3 Episode 1: Don't Give Up
",36
"Money Heist: Season 4 Episode 8: The Paris Plan
",36
"50M2: Season 1: ""Episode 3""
",36
"50M2: Season 1: ""Episode 5""
",35
"50M2: Season 1: ""Episode 8""
",35
"50M2: Season 1: ""Episode 1""
",34
"50M2: Season 1: ""Episode 7""
",34
"Dark: Season 3 Episode 6: Light and Shadow
",34
"Dark: Season 3 Episode 8: The Paradise
",33
"The Witcher: Season 1 Episode 8: Much More
",33
"Teenage Bounty Hunters: Season 1 Episode 4: Basically Pluto
",32
FILM - The Witcher,32
"Dark: Season 3 Episode 7: Between the Time
",32
