"domain","ip_address"
"www.poseidonhd.in"," 95.215.19.22"
"www1.cuevana3.video","Addresses:  172.237.146.8"
"pelisplus.live"," 185.130.46.37"
"pelis28.nu"," 104.247.82.51"
"pelis24.app","Addresses:  2606:4700:130:436c:6f75:6466:6c61:7265"
"pelis-123.com","Addresses:  172.233.219.123"
"peliculas24.online"," 103.224.212.217"
"mega1080p.org"," 91.195.240.94"
"gnula.li","Addresses:  2001:67c:2354:2::22"
"gnula.io","Addresses:  172.233.219.123"
"gnula.app"," 185.107.56.55"
"elifilms.net","Addresses:  172.233.219.123"
"cuevana3.live"," 37.48.65.154"
"cuevana2.io"," 192.64.119.183"
"watchsomuch.unblockit.onl","Addresses:  172.233.219.78"
"www.mkvcinemas.tube"," 10.14.0.70"
"www.gethdmovies.com"," 10.14.0.70"
"www15.filmymeet.co"," 69.16.230.165"
"vegamovies.click"," 84.32.84.32"
"torrentsave.cyou","Addresses:  172.237.146.38"
"southfreak.org"," 103.224.182.214"
"rdxhd.okjatt.work"," 10.14.0.70"
"moviesrock.xyz","Addresses:  76.223.54.146"
"moviespapa.black"," 10.14.0.70"
"movieshub.top","Addresses:  76.223.54.146"
"movieaio.us"," 10.14.0.70"
"movie4me.kim"," 10.14.0.70"
"mlwbd.shop"," 185.107.56.192"
"latesthdmovies.art"," 10.14.0.70"
"katmoviehd.kim"," 10.14.0.70"
"itsintv.ch"," 10.14.0.70"
"flixji.com"," 10.14.0.70"
"filmygod.co.in"," 162.0.229.216"
"extramovies.shop"," 10.14.0.70"
"downloadhub.ninja"," 10.14.0.70"
"downloadhub.getonlinesolution.com"," 10.14.0.70"
"bollyholic.live"," 162.210.195.123"
"bolly4u.monster","Addresses:  2606:4700:3030::6815:2001"
"akariholy.art"," 10.14.0.70"
"8xfilms.art"," 10.14.0.70"
"300mb1.com"," 10.14.0.70"
"1337x.be"," 10.14.0.70"
"thekat.cc","Addresses:  2606:4700:3030::6815:5001"
"skymovieshd.kim"," 10.14.0.70"
"proxypirate.tk"," 103.224.182.253"
"proxypirate.ml"," 104.247.81.73"
"pirateproxy.ml"," 103.224.182.210"
"pirateproxy.ga","Addresses:  13.248.169.48"
"piratebay.ml"," 10.14.0.70"
"piratebay.gq"," 10.14.0.70"
"kkickass.com","Addresses:  2606:4700:3035::ac43:cecd"
"kkat.net","Addresses:  2606:4700:3032::6815:3f4c"
"kickasstorrents.id","Addresses:  2606:4700:3031::6815:31a7"
"kickasstorrents.cr","Addresses:  2606:4700:3030::6815:5001"
"kickasstorrents.bz","Addresses:  2606:4700:3034::6815:5d16"
"kickasstorrents2.org","Addresses:  172.237.146.38"
"kickass2.cc","Addresses:  2606:4700:3033::ac43:9043"
"hk.bt4g.org","Addresses:  2606:4700:3037::ac43:c07c"
"bt4g.org","Addresses:  2606:4700:3037::ac43:c07c"
"kickasst.net","Addresses:  2606:4700:3031::6815:486b"
"kickass.onl"," 10.14.0.70"
"kickasskat.net","Addresses:  2606:4700:3036::ac43:dd33"
"tvshows4mobile.com","Addresses:  2606:4700:3037::ac43:d4fb"
"movgotv.com"," 103.224.182.251"
"ffmovies.biz","Addresses:  2606:4700:3036::ac43:aca8"
